"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"692" "Kushneria phyllosphaerae" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"693" "Maribacter litoralis" "B" 0 1.54004106776181 "Moderate" "s" "p"
"694" "Marinobacter bohaiensis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p"
"695" "Ornithinibacillus salinisoli" "B" 0.513347022587269 2.90896646132786 "Moderate" "s" "p"
"696" "Pseudogracilibacillus endophyticus" "B" 0 1.36892539356605 "Moderate" "s" "p"
"697" "Roseovarius ramblicola" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"698" "Salegentibacter sediminis" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p"
"699" "Salinisphaera aquimarina" "B" 0.171115674195756 3.08008213552361 "Moderate" "s" "p"
"700" "Salipaludibacillus halalkaliphilus" "B" 0 2.56673511293635 "Moderate" "s" "p"
"701" "Streptomyces durbertensis" "B" 0 1.71115674195756 "Moderate" "s" "p"
"702" "Virgibacillus indicus" "B" 0 2.56673511293635 "Moderate" "s" "p"
"703" "Virgibacillus profundi" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"704" "Kushneria endophytica" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"705" "Hwanghaeella grinnelliae" "B" 0 2.05338809034908 "Moderate" "s" "p"
"706" "Anaerobacillus alkaliphilus" "B" 0 1.19780971937029 "Moderate" "s" "p"
"707" "Aquibacillus sediminis" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"708" "Lentibacillus lipolyticus" "B" 0.684462696783025 5.98904859685147 "Moderate" "s" "p"
"709" "Marinobacter maroccanus" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p"
"710" "Nesterenkonia natronophila" "B" 0.171115674195756 2.05338809034908 "Moderate" "s" "p"
"711" "Pararhodobacter oceanensis" "B" 0.0855578370978782 1.54004106776181 "Moderate" "s" "p"
"712" "Phytoactinopolyspora halophila" "B" 0.342231348391513 4.10677618069815 "Moderate" "s" "p"
"713" "Rhodophyticola porphyridii" "B" 0 0.855578370978782 "Moderate" "s" "p"
"714" "Salinicola halimionae" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p"
"715" "Salinicola aestuarinus" "B" 0.427789185489391 5.13347022587269 "Moderate" "s" "p"
"716" "Salinicola endophyticus" "B" 0 4.27789185489391 "Moderate" "s" "p"
"717" "Salinicola halophyticus" "B" 0.427789185489391 3.42231348391513 "Moderate" "s" "p"
"718" "Salinicola lusitanus" "B" 0 5.13347022587269 "Moderate" "s" "p"
"719" "Vibrio zhugei" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p"
"720" "Halomonas nitroreducens" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p"
"721" "Saccharomonospora halophila" "B" 1.71115674195756 5.13347022587269 "No Class" "s" "p"
"723" "Alloalcanivorax venustensis" "B" 0 2.56673511293635 "No Class" "s" "p"
"731" "Photobacterium ganghwense" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"732" "Halobacillus faecis" "B" 0 2.56673511293635 "No Class" "s" "p"
"733" "Virgibacillus halophilus" "B" 0 3.08008213552361 "No Class" "s" "p"
"734" "Sulfitobacter litoralis" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p"
"737" "Alteromonas simiduii" "B" 0.0855578370978782 2.22450376454483 "No Class" "s" "p"
"739" "Litoricola lipolytica" "B" 0.205338809034908 1.71115674195756 "No Class" "s" "p"
"741" "Halotalea alkalilenta" "B" 0 2.56673511293635 "No Class" "s" "p"
"742" "Alteromonas tagae" "B" 0 2.39561943874059 "No Class" "s" "p"
"743" "Alteromonas simiduii" "B" 0.0855578370978782 2.22450376454483 "No Class" "s" "p"
"744" "Gracilibacillus lacisalsi" "B" 0.171115674195756 3.08008213552361 "No Class" "s" "p"
"745" "Thiophaeococcus mangrovi" "B" 0.0855578370978782 0.684462696783025 "No Class" "s" "p"
"746" "Haloplasma contractile" "B" 0.256673511293635 3.08008213552361 "No Class" "s" "p"
"747" "Marinobacter zhejiangensis" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p"
"748" "Halomonas salifodinae" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p"
"749" "Marinobacter goseongensis" "B" 0.171115674195756 4.27789185489391 "No Class" "s" "p"
"750" "Simiduia agarivorans" "B" 0.0855578370978782 1.19780971937029 "No Class" "s" "p"
"751" "Marinobacter psychrophilus" "B" 0.342231348391513 1.36892539356605 "No Class" "s" "p"
"752" "Streptomonospora halophila " "B" 0.855578370978782 3.42231348391513 "No Class" "s" "p"
"753" "Virgibacillus chiguensis " "B" 0 5.13347022587269 "No Class" "s" "p"
"754" "Paracoccus halophilus" "B" 0.0855578370978782 1.45448323066393 "No Class" "s" "p"
"755" "Clostridium tepidiprofundi" "B" 0.171115674195756 1.02669404517454 "No Class" "s" "p"
"756" "Halobacillus alkaliphilus" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p"
"757" "Spongiibacter marinus" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"758" "Alteromonas macleodii" "B" 0.171115674195756 2.05338809034908 "No Class" "s" "p"
"759" "Streptomonospora amylolytica" "B" 0.855578370978782 3.42231348391513 "No Class" "s" "p"
"760" "Streptomonospora flavalba" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p"
"761" "Haloglycomyces albus" "B" 0.513347022587269 3.08008213552361 "No Class" "s" "p"
"764" "Pseudidiomarina marina" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"765" "Pseudidiomarina tainanensis" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"766" "Aliagarivorans marinus" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"767" "Aliagarivorans taiwanensis" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"768" "Ponticaulis koreensis" "B" 0 1.02669404517454 "No Class" "s" "p"
"769" "Thiohalocapsa marina" "B" 0.171115674195756 1.02669404517454 "No Class" "s" "p"
"770" "Marinospirillum celere" "B" 0.0855578370978782 2.05338809034908 "No Class" "s" "p"
"771" "Salisaeta longa" "B" 0.855578370978782 3.42231348391513 "No Class" "s" "p"
"772" "Marinobacter szutsaonensis" "B" 0 3.42231348391513 "No Class" "s" "p"
"773" "Amycolatopsis halophila" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p"
"774" "Bacillus chungangensis" "B" 0 2.56673511293635 "No Class" "s" "p"
"775" "Georgenia halophila" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p"
"776" "Haloechinothrix alba" "B" 1.54004106776181 3.9356605065024 "No Class" "s" "p"
"780" "Loktanella pyoseonensis" "B" 0.171115674195756 2.05338809034908 "No Class" "s" "p"
"781" "Prauserella marina" "B" 0 1.71115674195756 "No Class" "s" "p"
"782" "Salinimicrobium marinum" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"783" "Umboniibacter marinipuniceus" "B" 0.342231348391513 0.855578370978782 "No Class" "s" "p"
"784" "Actinopolyspora alba" "B" 1.71115674195756 4.27789185489391 "No Class" "s" "p"
"785" "Actinopolyspora erythraea" "B" 1.71115674195756 4.27789185489391 "No Class" "s" "p"
"787" "Kangiella spongicola" "B" 0.342231348391513 2.56673511293635 "No Class" "s" "p"
"788" "Paracoccus stylophorae" "B" 0 1.54004106776181 "No Class" "s" "p"
"789" "Virgibacillus alimentarius" "B" 0 5.13347022587269 "No Class" "s" "p"
"790" "Aliidiomarina taiwanensis" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p"
"791" "Halomonas beimenensis" "B" 0 2.56673511293635 "No Class" "s" "p"
"792" "Hasllibacter halocynthiae" "B" 0.171115674195756 0.855578370978782 "No Class" "s" "p"
"793" "Kangiella taiwanensis" "B" 0.0855578370978782 2.05338809034908 "No Class" "s" "p"
"794" "Kangiella marina" "B" 0.171115674195756 1.36892539356605 "No Class" "s" "p"
"795" "Rhizobium halophytocola" "B" 0 1.28336755646817 "No Class" "s" "p"
"796" "Salisediminibacterium halotolerans" "B" 0.513347022587269 5.13347022587269 "No Class" "s" "p"
"797" "Actinopolyspora mzabensis" "B" 1.19780971937029 5.4757015742642 "No Class" "s" "p"
"798" "Corallomonas stylophorae" "B" 0.0855578370978782 1.19780971937029 "No Class" "s" "p"
"799" "Alloalcanivorax marinus" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"800" "Halobellus inordinatus" "A" 1.71115674195756 4.79123887748118 "No Class" "s" "g"
"801" "Natronoarchaeum philippinense" "A" 2.39561943874059 5.13347022587269 "No Class" "s" "p"
"802" "Natronococcus roseus" "A" 2.56673511293635 5.13347022587269 "No Class" "s" "p"
"803" "Oceanobacillus indicireducens" "B" 0 1.71115674195756 "No Class" "s" "p"
"804" "Oceanobacillus polygoni" "B" 0.513347022587269 2.05338809034908 "No Class" "s" "p"
"805" "Streptomyces chilikensis" "B" 0.342231348391513 2.05338809034908 "No Class" "s" "p"
"806" "Aliidiomarina shirensis" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"807" "Gracilibacillus alcaliphilus" "B" 0 2.56673511293635 "No Class" "s" "p"
"809" "Rhodovulum mangrovi" "B" 0 2.05338809034908 "No Class" "s" "p"
"810" "Saccharopolyspora halotolerans" "B" 0.513347022587269 3.42231348391513 "No Class" "s" "p"
"811" "Salinibacillus xinjiangensis" "B" 0.171115674195756 3.59342915811088 "No Class" "s" "p"
"812" "Salinispirillum marinum" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p"
"813" "Salinithrix halophila" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p"
"814" "Sulfitobacter porphyrae" "B" 0.171115674195756 1.54004106776181 "No Class" "s" "p"
"815" "Halarchaeum grantii" "A" 2.56673511293635 4.62012320328542 "No Class" "s" "p"
"816" "Longimonas halophila" "B" 0.684462696783025 4.27789185489391 "No Class" "s" "p"
"817" "Maribacter flavus" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"818" "Marinobacter halophilus" "B" 0 3.42231348391513 "No Class" "s" "p"
"819" "Marinobacter nitratireducens" "B" 0.0855578370978782 1.02669404517454 "No Class" "s" "p"
"820" "Paraglycomyces xinjiangensis" "B" 0.513347022587269 2.56673511293635 "No Class" "s" "p"
"821" "Prauserella isguenensis" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p"
"822" "Salininema proteolyticum" "B" 0.513347022587269 2.56673511293635 "No Class" "s" "p"
"823" "Spirochaeta sinaica" "B" 0.342231348391513 2.05338809034908 "No Class" "s" "p"
"824" "Terasakiispira papahanaumokuakeensis" "B" 0.342231348391513 2.56673511293635 "No Class" "s" "p"
"825" "Actinopolyspora salinaria" "B" 1.71115674195756 4.27789185489391 "No Class" "s" "p"
"826" "Salilacibacter albus" "B" 0 1.36892539356605 "No Class" "s" "p"
"827" "Egibacter rhizosphaerae" "B" 1.36892539356605 4.27789185489391 "No Class" "s" "p"
"828" "Lipingzhangella halophila" "B" 0.684462696783025 3.08008213552361 "No Class" "s" "p"
"829" "Longibacter salinarum" "B" 0.342231348391513 3.42231348391513 "No Class" "s" "p"
"830" "Microbulbifer rhizosphaerae" "B" 0.171115674195756 1.02669404517454 "No Class" "s" "p"
"831" "Paludifilum halophilum" "B" 0.855578370978782 3.42231348391513 "No Class" "s" "p"
"832" "Polygonibacillus indicireducens" "B" 0 1.71115674195756 "No Class" "s" "p"
"833" "Spongiibacter taiwanensis" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p"
"834" "Tagaea marina" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p"
"837" "Halofilum ochraceum" "B" 0.342231348391513 3.42231348391513 "No Class" "s" "p"
"838" "Kushneria konosiri" "B" 0 4.44900752908966 "No Class" "s" "p"
"839" "Microbulbifer aggregans" "B" 0.0855578370978782 1.36892539356605 "No Class" "s" "p"
"840" "Paralkalibacillus indicireducens" "B" 0 1.71115674195756 "No Class" "s" "p"
"841" "Prauserella oleivorans" "B" 0 2.13894592744695 "No Class" "s" "p"
"842" "Salinifilum aidingensis" "B" 1.36892539356605 3.08008213552361 "No Class" "s" "p"
"843" "Salibacter halophilus" "B" 0.342231348391513 3.08008213552361 "No Class" "s" "p"
"844" "Halococcus salsus" "A" 1.71115674195756 5.13347022587269 "No Class" "s" "p"
"845" "Haloplanus rallus" "A" 1.71115674195756 5.13347022587269 "No Class" "s" "p"
"846" "Ketobacter alkanivorans" "B" 0.171115674195756 1.19780971937029 "No Class" "s" "p"
"847" "Marinobacter fuscus" "B" 0 2.13894592744695 "No Class" "s" "p"
"848" "Rheinheimera salexigens" "B" 0.0855578370978782 0.855578370978782 "No Class" "s" "p"
"849" "Roseovarius salinarum" "B" 0.342231348391513 2.56673511293635 "No Class" "s" "p"
"850" "Salibacterium lacus" "B" 1.36892539356605 4.79123887748118 "No Class" "s" "p"
"851" "Virgibacillus phasianinus" "B" 0 3.42231348391513 "No Class" "s" "p"
"852" "Ornithinibacillus gellani" "B" 0.0855578370978782 2.99452429842574 "No Class" "s" "p"
"853" "Dongshaea marina" "B" 0.171115674195756 0.855578370978782 "No Class" "s" "p"
"854" "Microbulbifer flavimaris" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p"
"855" "Oceanobacillus piezotolerans" "B" 0 1.54004106776181 "No Class" "s" "p"
"856" "Dethiosulfovibrio marinus" "B" 0.0855578370978782 0.855578370978782 "Slight" "s" "p"
"857" "Dethiosulfovibrio acidaminovorans" "B" 0.0855578370978782 1.19780971937029 "Slight" "s" "p"
"860" "Halolactibacillus miurensis" "B" 0 4.36344969199179 "Slight" "s" "p"
"864" "Marinomonas dokdonensis" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p"
"866" "Kordiimonas gwangyangenis" "B" 0.0855578370978782 0.684462696783025 "Slight" "s" "p"
"868" "Nocardioides marinus" "B" 0.0855578370978782 1.36892539356605 "Slight" "s" "p"
"869" "Demequina aestuarii" "B" 0 2.05338809034908 "Slight" "s" "p"
"870" "Paraglaciecola agarilytica" "B" 0.342231348391513 1.36892539356605 "Slight" "s" "p"
"871" "Salinimicrobium terrae" "B" 0.0855578370978782 1.36892539356605 "Slight" "s" "p"
"872" "Marinomonas basaltis" "B" 0.171115674195756 1.19780971937029 "Slight" "s" "p"
"873" "Nosocomiicoccus ampullae" "B" 0 1.71115674195756 "Slight" "s" "p"
"875" "Psychroflexus sediminis" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "p"
"878" "Alkalibacterium thalassium" "B" 0 1.88227241615332 "Slight" "s" "p"
"879" "Alkalibacterium pelagium" "B" 0 2.90896646132786 "Slight" "s" "p"
"880" "Alkalibacterium putridalgicola" "B" 0 3.42231348391513 "Slight" "s" "p"
"881" "Alkalibacterium kapii" "B" 0 3.59342915811088 "Slight" "s" "p"
"882" "Litoreibacter arenae" "B" 0.145448323066393 1.36892539356605 "Slight" "s" "p"
"883" "Microbulbifer variabilis" "B" 0.0855578370978782 1.19780971937029 "Slight" "s" "p"
"884" "Microbulbifer epialgicus" "B" 0.0855578370978782 1.11225188227242 "Slight" "s" "p"
"885" "Sediminimonas qiaohouensis" "B" 0.0427789185489391 3.42231348391513 "Slight" "s" "p"
"887" "Dethiosulfovibrio salsuginis" "B" 0.0171115674195756 1.19780971937029 "Slight" "s" "p"
"888" "Pontibaca methylaminivorans" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p"
"889" "Tistlia consotensis" "B" 0 0.684462696783025 "Slight" "s" "p"
"890" "Bacillus nanhaiensis" "B" 0 3.08008213552361 "Slight" "s" "p"
"891" "Bacillus xiaoxiensis" "B" 0.0855578370978782 3.42231348391513 "Slight" "s" "p"
"892" "Alkalibacterium subtropicum" "B" 0 2.90896646132786 "Slight" "s" "p"
"893" "Jeotgalicoccus halophilus" "B" 0.0171115674195756 2.7378507871321 "Slight" "s" "p"
"895" "Thioalbus denitrificans" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"897" "Defluviitoga tunisiensis" "B" 0.0342231348391513 0.513347022587269 "Slight" "s" "p"
"899" "Kordiimonas aestuarii" "B" 0.171115674195756 1.54004106776181 "Slight" "s" "p"
"900" "Marinobacter xestospongiae" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "p"
"901" "Oceanisphaera sediminis" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"902" "Ruegeria conchae" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"903" "Winogradskyella ulvae" "B" 0.0855578370978782 0.684462696783025 "Slight" "s" "p"
"904" "Alkalibacterium gilvum" "B" 0 2.99452429842574 "Slight" "s" "p"
"905" "Amorphus suaedae" "B" 0 1.71115674195756 "Slight" "s" "p"
"906" "Bacillus persicus" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p"
"907" "Bacillus salsus" "B" 0.0855578370978782 1.28336755646817 "Slight" "s" "p"
"908" "Endozoicomonas numazuensis" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"909" "Profundibacterium mesophilum" "B" 0.0855578370978782 3.42231348391513 "Slight" "s" "p"
"910" "Cyclobacterium halophilum" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p"
"911" "Photobacterium aestuarii" "B" 0.171115674195756 1.02669404517454 "Slight" "s" "p"
"912" "Halopseudomonas salegens" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p"
"913" "Thermoflavifilum aggregans" "B" 0 0.855578370978782 "Slight" "s" "p"
"914" "Vallitalea pronyensis" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "p"
"915" "Zunongwangia mangrovi" "B" 0.0513347022587269 2.05338809034908 "Slight" "s" "p"
"916" "Aliiglaciecola aliphaticivorans" "B" 0.171115674195756 1.54004106776181 "Slight" "s" "p"
"917" "Aminobacterium thunnarium" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"918" "Desulfovibrio biadhensis" "B" 0.0855578370978782 1.36892539356605 "Slight" "s" "p"
"919" "Idiomarina halophila" "B" 0.0855578370978782 1.88227241615332 "Slight" "s" "p"
"920" "Roseovarius aquimarinus" "B" 0.171115674195756 2.22450376454483 "Slight" "s" "p"
"921" "Vibrio renipiscarius" "B" 0.171115674195756 1.36892539356605 "Slight" "s" "p"
"922" "Aliidiomarina iranensis" "B" 0.171115674195756 2.56673511293635 "Slight" "s" "p"
"923" "Kordiimonas lipolytica" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p"
"924" "Marinirhabdus gelatinilytica" "B" 0.0855578370978782 1.28336755646817 "Slight" "s" "p"
"925" "Marinomonas spartinae" "B" 0.342231348391513 2.56673511293635 "Slight" "s" "p"
"926" "Pontibacillus salipaludis" "B" 0.171115674195756 3.25119780971937 "Slight" "s" "p"
"927" "Thalassobius litorarius" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p"
"928" "Altererythrobacter salegens" "B" 0.342231348391513 1.71115674195756 "Slight" "s" "p"
"929" "Consotaella salsifontis" "B" 0 1.19780971937029 "Slight" "s" "p"
"930" "Mangrovibacter phragmitis" "B" 0 1.36892539356605 "Slight" "s" "p"
"931" "Maribacter pelagius" "B" 0.342231348391513 1.02669404517454 "Slight" "s" "p"
"932" "Oleiagrimonas citrea" "B" 0 1.02669404517454 "Slight" "s" "p"
"933" "Paraliobacillus sediminis" "B" 0 2.56673511293635 "Slight" "s" "p"
"934" "Parasphingopyxis algicola" "B" 0 1.02669404517454 "Slight" "s" "p"
"935" "Soortia roseihalophila" "B" 0.171115674195756 0.513347022587269 "Slight" "s" "p"
"936" "Desulfovibrio salinus" "B" 0.171115674195756 2.05338809034908 "Slight" "s" "p"
"937" "Kordiimonas pumila" "B" 0.171115674195756 0.684462696783025 "Slight" "s" "p"
"938" "Pelagivirga sediminicola" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p"
"940" "Salinimonas sediminis" "B" 0.342231348391513 2.56673511293635 "Slight" "s" "p"
"941" "Bacillus tamaricis" "B" 0 0.171115674195756 "Slight" "s" "p"
"942" "Bacillus salacetis" "B" 0 2.56673511293635 "Slight" "s" "p"
"943" "Glaciecola amylolytica" "B" 0.171115674195756 1.36892539356605 "Slight" "s" "p"
"944" "Paraliobacillus zengyii" "B" 0 2.90896646132786 "Slight" "s" "p"
"945" "Parashewanella tropica" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "p"
"946" "Planomicrobium iranicum" "B" 0.171115674195756 1.28336755646817 "Slight" "s" "p"
"947" "Shimia thalassica" "B" 0.342231348391513 1.02669404517454 "Slight" "s" "p"
"948" "Halomonas arcis" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"949" "Halomonas subterranea" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"950" "Salirhabdus euzebyi" "B" 0 2.7378507871321 "Tolerant" "s" "p"
"951" "Rhodobium pfennigii" "B" 0 0.855578370978782 "Tolerant" "s" "p"
"952" "Nocardiopsis arabia" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"953" "Alkalibacterium indicireducens" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"954" "Halomonas xinjiangensis" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"955" "Algiphilus aromaticivorans" "B" 0 2.05338809034908 "Tolerant" "s" "p"
"956" "Marinobacter antarcticus" "B" 0 4.27789185489391 "Tolerant" "s" "p"
"957" "Cobetia amphilecti" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"958" "Cobetia litoralis" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"959" "Cobetia pacifica" "B" 0 3.42231348391513 "Tolerant" "s" "p"
"960" "Texcoconibacillus texcoconensis" "B" 0 4.44900752908966 "Tolerant" "s" "p"
"961" "Bacillus ligniniphilus" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"962" "Haloactinopolyspora alkaliphila" "B" 0 2.13894592744695 "Tolerant" "s" "p"
"963" "Lysinibacillus halotolerans" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"964" "Mobilitalea sibirica" "B" 0 1.45448323066393 "Tolerant" "s" "p"
"965" "Halomonas salicampi" "B" 0 3.9356605065024 "Tolerant" "s" "p"
"966" "Nesterenkonia alkaliphila" "B" 0 2.05338809034908 "Tolerant" "s" "p"
"967" "Phytoactinopolyspora endophytica" "B" 0 1.54004106776181 "Tolerant" "s" "p"
"968" "Tamilnaduibacter salinus" "B" 0.171115674195756 3.42231348391513 "Tolerant" "s" "p"
"969" "Zhihengliuella somnathii" "B" 0.0855578370978782 2.56673511293635 "Tolerant" "s" "p"
"970" "Alkalispirochaeta cellulosivorans" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"971" "Bacillus ectoiniformans" "B" 0 1.71115674195756 "Tolerant" "s" "p"
"972" "Salirhabdus salicampi" "B" 0 2.7378507871321 "Tolerant" "s" "p"
"973" "Georgenia deserti" "B" 0 2.90896646132786 "Tolerant" "s" "p"
"974" "Planococcus halotolerans" "B" 0 2.56673511293635 "Tolerant" "s" "p"
"975" "Roseovarius nitratireducens" "B" 0.0855578370978782 3.08008213552361 "Tolerant" "s" "p"
"976" "Saccharopolyspora deserti" "B" 0 3.76454483230664 "Tolerant" "s" "p"
"977" "Salibacterium nitratireducens" "B" 0 2.05338809034908 "Tolerant" "s" "p"
"978" "Anaerosacchariphilus polymeriproducens" "B" 0 1.02669404517454 "Tolerant" "s" "p"
"981" "Aestuariirhabdus litorea" "B" 0.171115674195756 1.02669404517454 "Moderate" "s" "p"
"982" "Aidingimonas lacisalsi" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p"
"983" "Alcanivorax sediminis" "B" 0 2.56673511293635 "Moderate" "s" "p"
"984" "Aliifodinibius saliphilus" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p"
"985" "Anaerohalosphaera lusitana" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p"
"986" "Limihaloglobus sulfuriphilus" "B" 0.513347022587269 1.71115674195756 "Moderate" "s" "p"
"987" "Bacillus natronophilus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"988" "Bacillus salinus" "B" 0.171115674195756 1.54004106776181 "Moderate" "s" "p"
"989" "Halalkalibacillus sediminis" "B" 0 3.76454483230664 "Moderate" "s" "p"
"990" "Haloarcula mannanilytica" "A" 1.5 4.6 "Extreme" "s" "m"
"991" "Halobacterium bonnevillei" "A" 2 5.4 "Extreme" "s" "m"
"992" "Halobaculum saliterrae" "A" 2 5.4 "Extreme" "s" "m"
"993" "Halovenus carboxidivorans" "A" 3 5.4 "Extreme" "s" "m"
"994" "Halomicroarcula amylolytica" "A" 1.36892539356605 5.13347022587269 "No Class" "s" "p"
"995" "Halomicrococcus hydrotolerans" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p"
"996" "Halomonas lactosivorans" "B" 0.171115674195756 2.05338809034908 "No Class" "s" "p"
"997" "Halomonas lysinitropha" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p"
"998" "Halomonas pellis" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p"
"999" "Halomonas piezotolerans" "B" 0.0855578370978782 3.59342915811088 "Slight" "s" "p"
"1000" "Halomonas radicis" "B" 0 4.27789185489391 "Tolerant" "s" "p"
"1001" "Halomonas urmiana" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"1002" "Halostella pelagica" "A" 1.4 4.8 "No Class" "s" "m"
"1003" "Halostella litorea" "A" 1.4 4.8 "No Class" "s" "m"
"1004" "Maribacter algicola" "B" 0.0855578370978782 0.855578370978782 "Moderate" "s" "p"
"1005" "Marinobacter denitrificans" "B" 0.513347022587269 4.27789185489391 "No Class" "s" "p"
"1006" "Marinobacter fonticola" "B" 0 3.25119780971937 "Tolerant" "s" "p"
"1007" "Marinobacter halodurans" "B" 0.171115674195756 3.08008213552361 "No Class" "s" "p"
"1008" "Marinobacter vulgaris" "B" 0.0855578370978782 3.08008213552361 "Moderate" "s" "p"
"1009" "Marisediminitalea mangrovi" "B" 0.171115674195756 1.54004106776181 "Slight" "s" "p"
"1010" "Mesonia oceanica" "B" 0.171115674195756 2.56673511293635 "Slight" "s" "p"
"1011" "Microbulbifer harenosus" "B" 0.342231348391513 1.88227241615332 "No Class" "s" "p"
"1012" "Natrialba swarupiae" "A" 3.42231348391513 5.98904859685147 "No Class" "s" "p"
"1013" "Nitrincola iocasae" "B" 0.171115674195756 1.88227241615332 "Slight" "s" "p"
"1014" "Paramesonia marina" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p"
"1015" "Phytoactinopolyspora mesophila" "B" 0.171115674195756 1.88227241615332 "Moderate" "s" "p"
"1016" "Psychrobacillus vulpis" "B" 0 0.94113620807666 "Slight" "s" "p"
"1019" "Roseovarius bejariae" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p"
"1020" "Roseovarius gahaiensis" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p"
"1021" "Rubrobacter tropicus" "B" 0.171115674195756 0.684462696783025 "Slight" "s" "p"
"1022" "Rubrobacter marinus" "B" 0.171115674195756 1.02669404517454 "Slight" "s" "p"
"1023" "Salinibaculum litoreum" "A" 0.9 4.8 "No Class" "s" "m"
"1024" "Salinigranum halophilum" "A" 0.855578370978782 5.13347022587269 "No Class" "s" "p"
"1025" "Salinimonas iocasae" "B" 0.342231348391513 3.42231348391513 "Moderate" "s" "p"
"1026" "Sediminibacillus terrae" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p"
"1027" "Sphaerochaeta halotolerans" "B" 0 1.28336755646817 "Tolerant" "s" "p"
